Attendance (%),Assignment Completion (%),Test Score (25%),Practical Score (25%),Exam Score (50%),Performance,Age,Gender,Marital Status,Children (if Married),Mother Education,Father Education,Relationship with Student,Extracurricular Activities,Online Time (Daily),Family Relationship,Free Time Activities,Alcoholic Consumption,Religious Programs (Weekly),Computer/Laptop Access (for Practicals)
98,92,19,13,19,C,22,Female,Single,0,Master's Degree,High School,Father,Yes,3,Average,Socializing,Low,7,Yes
28,20,9,9,9,F,25,Female,Single,0,High School,Doctorate,Uncle,No,1,Poor,Watching TV,Moderate,0,Yes
63,69,16,9,17,D,23,Female,Married,5,Master's Degree,Master's Degree,Father,Yes,3,Poor,Sports,High,5,No
91,91,21,21,44,A,22,Female,Single,0,Doctorate,Bachelor's Degree,Uncle,No,7,Average,Sports,High,7,No
65,74,11,13,9,E,20,Female,Single,0,College,High School,Brother,No,9,Average,Watching TV,Low,1,Yes
75,97,20,21,23,B,22,Female,Engaged,0,College,Bachelor's Degree,Father,No,7,Average,Socializing,Moderate,7,Yes
99,83,24,21,34,A,18,Male,Engaged,0,High School,High School,Uncle,Yes,4,Average,Sports,Low,3,Yes
79,75,22,23,34,A,20,Female,Single,0,Bachelor's Degree,High School,Brother,Yes,0,Good,Reading,Low,4,Yes
87,78,16,13,25,C,20,Female,Married,3,College,Bachelor's Degree,Aunty,No,2,Good,Sports,High,4,Yes
95,80,17,15,29,B,24,Male,Married,4,Master's Degree,College,Aunty,Yes,4,Average,Watching TV,Low,1,Yes
82,97,16,24,39,A,21,Female,Married,3,Bachelor's Degree,Bachelor's Degree,Uncle,No,7,Average,Sports,Low,7,Yes
68,67,11,25,8,D,18,Female,Married,3,Master's Degree,College,Uncle,Yes,9,Average,Reading,Moderate,1,Yes
65,75,11,11,15,E,19,Female,Married,3,High School,Doctorate,Father,Yes,1,Poor,Reading,Moderate,6,No
98,77,15,12,29,C,24,Male,Single,0,Doctorate,High School,Sister,No,6,Poor,Watching TV,Low,2,Yes
96,87,14,9,50,A,25,Female,Married,4,Doctorate,Master's Degree,Brother,No,4,Poor,Reading,High,3,No
85,82,8,15,49,A,25,Male,Engaged,0,High School,College,Brother,Yes,0,Poor,Watching TV,Moderate,7,No
64,61,10,12,20,D,25,Female,Single,0,Bachelor's Degree,College,Brother,Yes,6,Good,Reading,High,0,No
99,92,14,24,48,A,24,Male,Engaged,0,High School,Doctorate,Sister,No,0,Good,Reading,High,5,No
92,89,15,17,38,A,18,Male,Married,1,High School,Master's Degree,Sister,Yes,3,Average,Reading,Moderate,2,No
78,75,11,8,46,B,20,Female,Engaged,0,High School,Master's Degree,Aunty,No,6,Poor,Reading,Low,4,Yes
94,95,19,11,46,A,18,Female,Married,0,High School,High School,Father,No,2,Poor,Watching TV,Moderate,5,No
70,75,24,11,9,D,24,Female,Married,0,Bachelor's Degree,Bachelor's Degree,Mother,Yes,1,Poor,Reading,Low,7,No
84,75,11,21,24,C,20,Female,Married,0,Doctorate,High School,Brother,No,3,Poor,Socializing,Low,6,No
90,92,18,18,19,C,22,Female,Single,0,College,High School,Brother,Yes,0,Good,Reading,Moderate,4,No
89,85,20,17,36,A,23,Male,Single,0,High School,College,Brother,Yes,1,Average,Watching TV,High,7,No
96,87,8,20,36,B,25,Female,Married,0,High School,College,Aunty,No,6,Poor,Socializing,High,5,Yes
64,73,21,9,19,D,18,Female,Engaged,0,College,Doctorate,Uncle,Yes,8,Average,Reading,Moderate,2,No
75,87,24,17,37,A,18,Female,Single,0,Master's Degree,Master's Degree,Mother,Yes,8,Good,Socializing,Low,5,Yes
95,83,25,23,9,C,19,Male,Single,0,High School,College,Aunty,Yes,6,Poor,Watching TV,High,0,Yes
78,80,25,25,25,A,20,Male,Single,0,Bachelor's Degree,Doctorate,Brother,No,8,Good,Socializing,Low,6,No
90,88,15,18,39,A,24,Female,Married,1,High School,Bachelor's Degree,Sister,Yes,3,Average,Watching TV,High,2,No
95,88,22,20,42,A,23,Male,Engaged,0,High School,College,Mother,No,8,Poor,Watching TV,Moderate,3,No
83,75,16,25,40,A,20,Female,Single,0,College,Doctorate,Father,Yes,5,Poor,Socializing,Moderate,4,No
94,96,23,20,14,C,18,Male,Engaged,0,Doctorate,Master's Degree,Uncle,Yes,5,Poor,Socializing,Moderate,4,No
61,63,8,12,26,D,25,Male,Single,0,College,College,Uncle,Yes,3,Average,Watching TV,Moderate,1,No
75,75,22,15,20,C,25,Male,Single,0,College,High School,Father,No,0,Poor,Reading,Low,0,Yes
78,91,13,22,16,C,20,Male,Engaged,0,Master's Degree,Doctorate,Father,Yes,0,Poor,Watching TV,High,5,Yes
73,73,14,22,13,D,22,Female,Single,0,College,Doctorate,Sister,Yes,9,Poor,Watching TV,Moderate,7,Yes
68,65,17,11,15,D,20,Female,Married,2,Master's Degree,Master's Degree,Aunty,Yes,6,Average,Reading,Low,2,No
85,84,12,23,41,A,19,Male,Engaged,0,Master's Degree,College,Father,No,2,Average,Socializing,Moderate,4,Yes
70,70,23,13,12,D,25,Female,Married,5,High School,Bachelor's Degree,Uncle,No,9,Good,Watching TV,Moderate,6,No
70,67,10,8,31,D,20,Female,Engaged,0,Bachelor's Degree,Bachelor's Degree,Aunty,No,6,Average,Reading,Moderate,2,No
78,76,20,24,25,B,21,Male,Single,0,Doctorate,High School,Brother,No,9,Average,Sports,High,2,No
94,91,13,22,40,A,24,Female,Single,0,Doctorate,College,Mother,No,9,Poor,Reading,Moderate,6,No
72,60,19,8,9,E,18,Male,Married,5,Bachelor's Degree,Doctorate,Aunty,No,1,Good,Reading,Moderate,7,No
69,60,8,12,28,D,22,Female,Engaged,0,College,Master's Degree,Aunty,Yes,9,Poor,Sports,High,5,No
76,75,21,13,40,A,18,Female,Engaged,0,Bachelor's Degree,Doctorate,Uncle,Yes,5,Poor,Reading,High,0,No
68,67,11,16,18,D,21,Female,Married,4,Master's Degree,Master's Degree,Aunty,Yes,1,Poor,Watching TV,Moderate,4,No
77,83,22,23,8,C,22,Female,Single,0,Bachelor's Degree,High School,Uncle,No,7,Poor,Watching TV,Low,2,No
99,93,11,22,42,A,23,Female,Single,0,Master's Degree,Bachelor's Degree,Brother,No,4,Average,Socializing,Low,1,Yes
78,85,8,14,32,C,20,Female,Engaged,0,Bachelor's Degree,High School,Father,No,9,Average,Socializing,Moderate,4,No
84,93,9,18,38,B,24,Male,Single,0,Doctorate,College,Father,Yes,6,Good,Socializing,High,1,Yes
85,93,13,20,29,B,22,Male,Single,0,College,College,Sister,Yes,1,Good,Watching TV,Low,0,No
65,66,10,10,14,E,18,Male,Engaged,0,Bachelor's Degree,College,Aunty,Yes,8,Average,Watching TV,High,5,No
76,85,21,23,22,B,19,Male,Engaged,0,Bachelor's Degree,High School,Uncle,Yes,9,Poor,Sports,Low,4,No
61,63,10,25,12,D,18,Male,Single,0,Doctorate,High School,Father,Yes,7,Average,Sports,Low,5,Yes
88,77,23,14,50,A,21,Female,Engaged,0,Master's Degree,College,Mother,Yes,7,Average,Socializing,High,0,No
99,85,24,15,50,A,19,Female,Single,0,Master's Degree,High School,Uncle,Yes,5,Average,Reading,Moderate,0,Yes
88,91,25,20,37,A,21,Male,Married,0,High School,High School,Aunty,Yes,5,Average,Watching TV,Low,4,No
91,90,24,21,47,A,23,Male,Married,2,Doctorate,Doctorate,Uncle,Yes,7,Good,Watching TV,Moderate,6,Yes
76,81,9,19,48,A,18,Male,Married,3,College,Master's Degree,Brother,Yes,1,Good,Reading,Moderate,3,No
78,96,17,10,46,A,18,Male,Engaged,0,High School,College,Father,Yes,8,Average,Socializing,Low,1,Yes
83,82,21,15,39,A,21,Male,Married,3,High School,Master's Degree,Brother,Yes,4,Good,Sports,Moderate,6,No
93,89,20,21,42,A,19,Male,Married,2,Master's Degree,Doctorate,Aunty,No,1,Average,Reading,Moderate,0,No
60,69,16,9,14,E,25,Female,Engaged,0,Master's Degree,Master's Degree,Sister,Yes,5,Good,Sports,Moderate,2,No
73,66,14,24,8,D,19,Male,Married,1,High School,High School,Father,Yes,0,Average,Sports,High,4,Yes
80,98,13,11,31,C,22,Male,Single,0,Doctorate,Doctorate,Brother,Yes,7,Poor,Reading,Low,4,Yes
87,77,17,25,40,A,23,Female,Single,0,Bachelor's Degree,Master's Degree,Uncle,Yes,7,Average,Reading,High,7,Yes
94,92,17,16,34,B,18,Female,Married,1,Master's Degree,Master's Degree,Mother,No,7,Average,Watching TV,High,1,No
86,77,24,23,14,B,18,Male,Married,2,High School,Doctorate,Aunty,Yes,1,Good,Sports,Moderate,6,No
61,66,15,12,11,E,23,Male,Married,1,High School,Doctorate,Sister,Yes,9,Poor,Socializing,Moderate,4,No
78,82,19,10,44,A,23,Female,Married,3,College,Doctorate,Father,No,7,Average,Sports,High,6,No
93,97,20,15,28,B,21,Female,Single,0,Bachelor's Degree,High School,Mother,No,6,Good,Socializing,High,2,Yes
96,90,25,10,41,A,21,Male,Married,3,Bachelor's Degree,College,Brother,Yes,0,Average,Socializing,Moderate,3,No
75,98,24,8,39,A,20,Female,Engaged,0,Bachelor's Degree,Doctorate,Aunty,No,9,Poor,Sports,High,1,No
76,82,9,12,42,B,25,Female,Engaged,0,Master's Degree,Bachelor's Degree,Uncle,No,9,Average,Sports,Low,1,No
84,94,20,19,43,A,24,Male,Married,0,Doctorate,Master's Degree,Mother,No,3,Poor,Reading,Moderate,6,No
94,91,20,25,33,A,19,Female,Single,0,Doctorate,Master's Degree,Father,Yes,0,Average,Sports,Moderate,4,Yes
88,93,15,8,44,B,19,Male,Single,0,Master's Degree,High School,Sister,No,1,Average,Socializing,Moderate,2,No
85,78,11,19,49,A,21,Female,Single,0,College,College,Sister,No,6,Average,Reading,High,7,No
93,80,13,25,44,A,25,Female,Engaged,0,College,College,Sister,Yes,1,Good,Sports,High,7,Yes
79,80,23,9,32,B,25,Male,Single,0,High School,College,Father,Yes,2,Good,Watching TV,Low,0,Yes
89,76,11,18,47,A,24,Male,Engaged,0,Doctorate,Master's Degree,Aunty,No,4,Average,Watching TV,Low,6,Yes
68,66,13,19,10,D,22,Male,Engaged,0,Master's Degree,Master's Degree,Aunty,No,1,Good,Reading,Low,1,Yes
78,77,25,22,10,C,18,Male,Engaged,0,Bachelor's Degree,Master's Degree,Father,No,0,Poor,Socializing,Moderate,7,Yes
73,68,11,15,10,E,24,Female,Engaged,0,High School,Bachelor's Degree,Mother,No,3,Good,Reading,High,5,No
76,95,25,25,8,C,20,Female,Married,1,Doctorate,Bachelor's Degree,Aunty,No,2,Average,Reading,Low,1,No
98,91,10,24,34,B,22,Female,Single,0,Master's Degree,Master's Degree,Aunty,No,5,Average,Sports,Moderate,4,Yes
85,98,13,13,24,C,25,Male,Married,5,Master's Degree,Master's Degree,Father,Yes,6,Poor,Socializing,High,5,No
94,87,20,20,46,A,21,Male,Engaged,0,College,Master's Degree,Mother,No,6,Poor,Reading,High,3,No
95,94,19,19,27,B,21,Male,Single,0,Master's Degree,Bachelor's Degree,Mother,No,5,Average,Watching TV,Low,2,Yes
97,92,18,23,40,A,18,Female,Engaged,0,College,Doctorate,Aunty,Yes,7,Average,Watching TV,Moderate,7,Yes
35,35,8,12,8,F,18,Female,Single,0,High School,Doctorate,Uncle,Yes,5,Good,Socializing,Moderate,6,No
88,79,12,25,40,A,18,Female,Engaged,0,College,High School,Father,No,9,Poor,Sports,Low,4,No
63,62,17,12,11,D,22,Male,Single,0,Bachelor's Degree,Master's Degree,Sister,No,6,Average,Watching TV,High,6,Yes
93,83,17,9,45,A,19,Female,Single,0,Doctorate,College,Mother,No,2,Poor,Sports,Low,7,No
98,78,21,21,15,C,19,Female,Single,0,Doctorate,High School,Sister,Yes,9,Good,Reading,High,7,No
68,67,18,11,19,D,19,Female,Married,1,Master's Degree,Doctorate,Brother,Yes,7,Average,Sports,Moderate,3,No
80,87,10,25,22,C,23,Female,Married,5,Bachelor's Degree,Doctorate,Aunty,Yes,8,Good,Watching TV,Low,3,No
93,79,14,14,45,A,22,Male,Single,0,Bachelor's Degree,Doctorate,Uncle,No,8,Poor,Watching TV,Moderate,5,No
97,94,24,23,11,C,19,Male,Married,0,Doctorate,Master's Degree,Sister,Yes,5,Poor,Sports,Moderate,1,Yes
89,78,12,19,45,A,21,Female,Engaged,0,College,Master's Degree,Father,No,7,Average,Watching TV,Moderate,6,No
92,88,9,10,40,C,21,Female,Engaged,0,Doctorate,Master's Degree,Uncle,Yes,2,Poor,Reading,High,1,No
90,91,15,15,38,B,24,Male,Married,0,College,Master's Degree,Mother,Yes,5,Average,Sports,High,5,Yes
75,65,12,9,22,D,24,Female,Engaged,0,High School,Doctorate,Aunty,No,8,Average,Socializing,Low,1,Yes
85,75,16,14,30,B,25,Female,Single,0,College,Master's Degree,Father,Yes,5,Average,Watching TV,High,7,No
90,77,18,15,48,A,18,Male,Married,5,Bachelor's Degree,College,Uncle,No,5,Poor,Watching TV,High,4,No
76,93,14,19,33,B,19,Male,Single,0,Bachelor's Degree,High School,Aunty,Yes,8,Average,Reading,Moderate,6,Yes
99,83,13,21,44,A,25,Female,Engaged,0,College,Doctorate,Uncle,Yes,0,Good,Sports,Low,6,No
67,68,10,18,14,D,24,Male,Single,0,College,College,Sister,Yes,9,Average,Sports,High,0,No
60,63,11,23,10,D,25,Female,Married,4,College,High School,Sister,Yes,7,Poor,Watching TV,High,1,Yes
80,94,22,24,46,A,22,Male,Single,0,Bachelor's Degree,High School,Aunty,No,3,Good,Reading,Moderate,0,No
88,81,16,17,41,A,19,Female,Engaged,0,College,Bachelor's Degree,Mother,No,9,Good,Socializing,Moderate,4,Yes
80,78,23,18,16,C,21,Male,Single,0,Doctorate,Master's Degree,Sister,Yes,5,Average,Sports,High,2,No
97,87,24,19,43,A,22,Male,Engaged,0,Doctorate,Master's Degree,Aunty,Yes,8,Good,Sports,Moderate,7,No
61,72,11,9,23,D,22,Male,Married,4,Bachelor's Degree,High School,Uncle,Yes,1,Good,Sports,Low,0,Yes
61,67,15,18,8,D,25,Female,Single,0,Doctorate,Master's Degree,Mother,Yes,2,Average,Reading,Low,4,Yes
86,84,12,24,24,B,23,Male,Engaged,0,College,Doctorate,Sister,Yes,3,Average,Socializing,Moderate,7,No
97,88,10,14,47,A,25,Male,Married,4,College,High School,Sister,No,2,Average,Reading,Moderate,7,No
83,84,22,13,41,A,20,Female,Married,1,College,High School,Uncle,Yes,7,Poor,Socializing,Low,2,Yes
65,65,10,8,30,D,19,Male,Engaged,0,Master's Degree,Doctorate,Sister,Yes,4,Good,Watching TV,Moderate,0,No
78,76,11,25,49,A,21,Female,Married,2,Master's Degree,College,Father,Yes,8,Average,Sports,High,4,No
78,85,25,21,44,A,24,Female,Married,4,College,Bachelor's Degree,Uncle,No,2,Average,Socializing,Moderate,5,Yes
98,86,25,9,36,A,18,Female,Engaged,0,High School,Bachelor's Degree,Mother,Yes,0,Average,Watching TV,Low,4,No
69,60,15,10,22,D,19,Male,Engaged,0,Bachelor's Degree,High School,Mother,No,3,Poor,Watching TV,Moderate,3,Yes
97,83,19,19,21,C,19,Male,Married,1,High School,Doctorate,Uncle,No,8,Average,Socializing,Low,4,No
89,76,12,15,31,C,22,Male,Single,0,High School,Bachelor's Degree,Brother,Yes,6,Poor,Reading,High,4,No
78,84,10,24,22,C,24,Male,Single,0,Master's Degree,High School,Uncle,Yes,7,Poor,Watching TV,High,0,No
87,78,11,16,38,B,23,Female,Engaged,0,College,High School,Father,No,9,Poor,Reading,Low,2,No
81,97,17,16,29,B,25,Male,Single,0,High School,Bachelor's Degree,Aunty,Yes,2,Average,Socializing,High,1,No
79,91,12,23,31,B,18,Female,Single,0,Master's Degree,Doctorate,Brother,No,7,Good,Socializing,Low,6,No
82,97,21,8,44,A,21,Male,Single,0,Doctorate,College,Aunty,No,6,Good,Reading,High,4,No
94,96,9,13,49,A,18,Female,Single,0,Bachelor's Degree,Doctorate,Mother,No,7,Average,Reading,High,3,No
90,80,11,13,33,C,23,Female,Engaged,0,Master's Degree,High School,Brother,No,7,Average,Sports,Low,4,Yes
81,86,13,21,50,A,25,Male,Married,2,Master's Degree,Bachelor's Degree,Sister,No,6,Good,Socializing,Low,1,No
65,62,9,16,8,E,25,Female,Single,0,High School,College,Father,Yes,3,Good,Reading,Moderate,7,Yes
81,84,17,21,30,B,22,Male,Married,5,Bachelor's Degree,Doctorate,Aunty,No,7,Good,Socializing,Moderate,7,Yes
73,72,14,10,9,E,18,Female,Engaged,0,Doctorate,College,Sister,Yes,7,Poor,Reading,Low,1,No
79,75,23,9,34,B,19,Female,Married,4,Master's Degree,High School,Sister,No,4,Poor,Socializing,Low,4,Yes
79,76,23,9,21,C,23,Male,Married,2,College,College,Aunty,No,2,Good,Socializing,Moderate,3,Yes
80,85,15,13,50,A,18,Female,Engaged,0,College,Master's Degree,Uncle,Yes,0,Good,Reading,Low,2,Yes
88,93,11,17,27,C,19,Female,Married,0,Doctorate,High School,Sister,Yes,7,Good,Reading,Moderate,5,Yes
96,83,25,19,44,A,24,Female,Single,0,Bachelor's Degree,High School,Uncle,Yes,7,Average,Sports,Low,3,No
75,78,14,23,15,C,20,Male,Married,4,Doctorate,Doctorate,Mother,No,1,Poor,Watching TV,High,3,Yes
62,74,9,21,19,D,24,Female,Engaged,0,Master's Degree,Doctorate,Father,Yes,7,Poor,Reading,High,1,Yes
79,94,10,8,34,C,22,Female,Engaged,0,Master's Degree,Doctorate,Brother,Yes,6,Good,Reading,High,7,No
61,60,14,23,11,D,25,Male,Married,3,Doctorate,Master's Degree,Brother,No,0,Poor,Socializing,High,5,No
60,73,17,11,12,D,19,Female,Married,4,College,Master's Degree,Father,No,8,Poor,Reading,Low,3,No
61,63,11,17,10,E,18,Male,Engaged,0,Bachelor's Degree,High School,Brother,No,1,Average,Reading,High,3,No
61,69,23,16,9,D,24,Female,Married,0,Doctorate,Master's Degree,Aunty,Yes,4,Poor,Reading,High,1,Yes
78,85,8,15,38,B,20,Male,Single,0,Master's Degree,Master's Degree,Sister,Yes,8,Poor,Sports,Moderate,1,Yes
74,72,9,14,16,E,20,Female,Single,0,Doctorate,Bachelor's Degree,Father,Yes,0,Poor,Watching TV,High,6,Yes
73,74,25,13,8,D,20,Male,Married,1,Master's Degree,Bachelor's Degree,Brother,No,6,Poor,Sports,High,7,Yes
88,80,13,21,35,B,22,Female,Single,0,Master's Degree,Bachelor's Degree,Uncle,No,8,Average,Sports,Moderate,7,No
86,76,18,19,13,C,24,Female,Married,3,Bachelor's Degree,Bachelor's Degree,Father,No,5,Poor,Reading,High,3,No
77,91,19,9,47,A,21,Male,Married,2,High School,College,Sister,No,2,Good,Sports,High,7,Yes
67,64,12,14,20,D,24,Female,Single,0,Doctorate,High School,Father,No,0,Good,Socializing,High,0,Yes
76,91,25,9,46,A,24,Female,Married,5,High School,Doctorate,Uncle,No,6,Average,Socializing,Low,0,No
75,94,14,8,28,C,21,Female,Engaged,0,College,College,Mother,Yes,4,Average,Reading,High,7,No
75,69,17,20,10,D,22,Male,Engaged,0,College,College,Brother,Yes,8,Good,Reading,Low,3,No
95,95,24,24,38,A,22,Male,Single,0,College,Master's Degree,Mother,No,0,Good,Reading,Low,5,Yes
65,66,12,11,19,D,19,Male,Engaged,0,Master's Degree,Master's Degree,Father,No,3,Average,Sports,Low,7,No
82,95,21,24,10,C,18,Male,Single,0,High School,High School,Uncle,Yes,1,Average,Watching TV,High,6,No
78,99,9,16,27,C,20,Female,Married,5,High School,Bachelor's Degree,Uncle,No,4,Good,Reading,High,0,Yes
75,79,15,20,23,C,20,Male,Married,4,Master's Degree,Doctorate,Sister,Yes,9,Poor,Watching TV,Moderate,1,Yes
74,72,13,19,8,D,22,Male,Engaged,0,High School,Doctorate,Aunty,No,9,Average,Watching TV,Low,7,Yes
91,99,11,15,29,C,20,Male,Single,0,High School,Doctorate,Uncle,Yes,3,Poor,Reading,High,7,No
93,81,23,15,17,C,18,Male,Single,0,Bachelor's Degree,Bachelor's Degree,Aunty,No,8,Average,Socializing,Low,3,Yes
71,65,18,8,16,D,25,Male,Engaged,0,Bachelor's Degree,College,Mother,No,9,Average,Reading,High,1,Yes
95,83,17,23,26,B,23,Female,Engaged,0,Doctorate,Doctorate,Father,Yes,6,Good,Reading,Moderate,4,Yes
80,90,17,22,25,B,24,Female,Married,1,Master's Degree,High School,Brother,Yes,7,Poor,Watching TV,High,7,No
60,64,17,9,11,E,22,Female,Single,0,Bachelor's Degree,Bachelor's Degree,Brother,Yes,0,Poor,Socializing,Low,5,Yes
88,82,9,24,27,B,22,Male,Engaged,0,Bachelor's Degree,Doctorate,Sister,No,6,Poor,Reading,High,1,No
81,91,21,22,14,C,25,Male,Engaged,0,Master's Degree,Master's Degree,Father,No,9,Average,Reading,Moderate,6,No
87,79,10,21,42,A,22,Male,Engaged,0,Doctorate,College,Mother,No,3,Average,Socializing,Low,2,Yes
98,95,21,11,25,C,25,Male,Married,0,Bachelor's Degree,High School,Sister,Yes,5,Average,Reading,Low,2,Yes
81,83,21,12,46,A,18,Male,Married,4,Doctorate,Doctorate,Uncle,No,2,Poor,Socializing,High,5,Yes
92,77,14,23,50,A,22,Male,Single,0,College,Doctorate,Aunty,Yes,6,Good,Sports,Moderate,1,Yes
98,83,18,10,38,B,20,Female,Married,0,High School,High School,Mother,Yes,0,Poor,Watching TV,Low,2,No
96,93,23,22,20,B,18,Male,Married,2,Bachelor's Degree,High School,Brother,Yes,2,Good,Reading,Low,5,Yes
61,70,20,13,10,D,20,Male,Engaged,0,High School,High School,Uncle,No,3,Average,Reading,Low,5,No
91,97,20,23,34,A,19,Female,Single,0,Doctorate,Master's Degree,Uncle,Yes,3,Good,Socializing,High,6,No
86,92,18,8,31,C,24,Male,Engaged,0,High School,High School,Mother,Yes,5,Poor,Sports,Low,0,Yes
79,87,16,14,30,B,20,Male,Married,4,Doctorate,College,Brother,Yes,7,Average,Socializing,Low,3,Yes
79,82,24,20,33,A,25,Male,Engaged,0,Bachelor's Degree,College,Sister,Yes,7,Good,Watching TV,Low,2,No
69,69,12,12,10,E,19,Female,Engaged,0,Master's Degree,Bachelor's Degree,Brother,No,2,Poor,Watching TV,Moderate,7,No
61,62,12,9,19,D,21,Male,Single,0,College,Master's Degree,Father,Yes,7,Good,Reading,High,2,No
67,62,17,15,15,D,25,Male,Engaged,0,Bachelor's Degree,Doctorate,Sister,Yes,8,Average,Watching TV,High,0,Yes
75,96,19,15,36,A,18,Female,Single,0,High School,Bachelor's Degree,Aunty,No,8,Average,Watching TV,Moderate,0,Yes
95,98,22,18,13,C,18,Male,Single,0,Doctorate,College,Father,No,9,Poor,Socializing,Low,4,Yes
81,89,11,20,33,B,20,Female,Married,0,College,Bachelor's Degree,Father,Yes,1,Average,Socializing,Moderate,0,No
75,60,10,19,11,D,25,Male,Single,0,High School,College,Sister,No,3,Good,Watching TV,Low,3,Yes
85,95,24,21,27,A,21,Male,Engaged,0,High School,Bachelor's Degree,Aunty,No,5,Good,Reading,High,5,Yes
77,94,11,16,32,C,24,Male,Married,3,Doctorate,Bachelor's Degree,Brother,No,4,Poor,Reading,Moderate,3,Yes
92,75,20,23,44,A,24,Male,Engaged,0,Master's Degree,High School,Sister,No,9,Poor,Watching TV,Moderate,2,Yes
95,78,17,13,49,A,24,Male,Single,0,Doctorate,Master's Degree,Brother,No,7,Good,Socializing,High,2,Yes
69,71,9,19,19,D,20,Female,Single,0,Master's Degree,Bachelor's Degree,Uncle,No,3,Good,Socializing,Moderate,2,No
60,74,10,10,25,D,22,Male,Married,4,Doctorate,Bachelor's Degree,Brother,No,9,Poor,Reading,Low,4,No
82,77,24,8,45,A,22,Male,Married,5,College,High School,Aunty,No,7,Average,Sports,High,1,Yes
81,91,24,20,16,B,23,Male,Single,0,College,High School,Sister,No,7,Good,Reading,Moderate,5,Yes
76,78,24,10,17,C,22,Male,Engaged,0,College,Doctorate,Aunty,Yes,0,Good,Socializing,Moderate,7,No
86,94,11,22,36,B,22,Male,Single,0,Master's Degree,Bachelor's Degree,Brother,No,3,Good,Reading,Moderate,1,Yes
87,89,21,8,34,B,19,Female,Single,0,Doctorate,Doctorate,Mother,Yes,2,Poor,Watching TV,High,2,No
60,73,15,12,19,D,18,Female,Married,0,Master's Degree,Master's Degree,Mother,Yes,5,Good,Sports,Low,1,Yes
65,71,16,16,15,D,25,Male,Single,0,College,Master's Degree,Uncle,Yes,4,Good,Reading,High,4,Yes
80,89,24,21,25,A,23,Male,Engaged,0,Bachelor's Degree,College,Sister,Yes,1,Good,Watching TV,Moderate,5,Yes
62,74,10,16,9,E,20,Female,Engaged,0,Bachelor's Degree,Master's Degree,Sister,No,1,Average,Reading,High,7,No
81,90,9,20,39,B,25,Female,Married,4,High School,High School,Sister,No,2,Average,Watching TV,Low,5,No
84,96,24,11,37,A,23,Female,Married,1,Bachelor's Degree,High School,Brother,No,3,Average,Socializing,Moderate,4,No
97,91,22,18,49,A,22,Male,Engaged,0,College,Bachelor's Degree,Brother,No,4,Average,Sports,Moderate,0,Yes
95,98,18,13,29,B,18,Female,Single,0,Doctorate,College,Sister,No,1,Average,Socializing,Moderate,6,Yes
66,74,17,9,18,D,23,Female,Married,1,College,High School,Brother,No,0,Poor,Reading,Low,6,Yes
66,75,10,16,13,E,25,Male,Married,5,College,Bachelor's Degree,Mother,Yes,5,Good,Socializing,Moderate,5,Yes
99,91,24,14,36,A,19,Female,Engaged,0,College,High School,Uncle,Yes,0,Poor,Sports,Moderate,2,Yes
68,75,19,19,10,D,25,Male,Engaged,0,Master's Degree,Doctorate,Mother,No,9,Good,Sports,High,0,Yes
82,84,22,16,50,A,24,Male,Engaged,0,Master's Degree,Doctorate,Uncle,No,0,Average,Watching TV,High,7,Yes
82,96,25,23,12,B,21,Female,Single,0,Doctorate,High School,Father,Yes,2,Poor,Socializing,Low,4,Yes
90,88,22,23,29,A,21,Female,Single,0,Doctorate,High School,Brother,Yes,1,Good,Sports,Moderate,7,No
95,83,25,9,26,B,20,Male,Single,0,College,Bachelor's Degree,Father,Yes,9,Good,Socializing,Moderate,4,No
79,85,14,20,50,A,19,Male,Engaged,0,High School,Doctorate,Father,Yes,3,Good,Watching TV,High,2,Yes
86,89,10,18,37,B,18,Male,Engaged,0,High School,Master's Degree,Brother,Yes,7,Average,Watching TV,High,2,Yes
81,81,21,22,47,A,25,Female,Engaged,0,Bachelor's Degree,Master's Degree,Mother,No,1,Average,Sports,Low,6,Yes
61,73,19,13,10,D,22,Male,Married,4,Master's Degree,Bachelor's Degree,Brother,Yes,6,Average,Sports,Moderate,1,Yes
75,92,21,8,24,C,22,Male,Engaged,0,High School,College,Aunty,Yes,1,Average,Socializing,High,1,No
99,92,20,17,17,C,25,Female,Engaged,0,Doctorate,High School,Father,Yes,8,Good,Reading,High,2,No
92,75,25,16,21,B,19,Male,Single,0,Bachelor's Degree,Master's Degree,Sister,No,2,Good,Reading,Low,6,Yes
80,79,8,19,39,B,22,Female,Single,0,Master's Degree,College,Mother,Yes,8,Good,Watching TV,Moderate,6,No
95,84,24,9,31,B,22,Male,Single,0,Master's Degree,College,Sister,No,2,Average,Socializing,High,7,No
82,78,15,9,40,B,20,Male,Single,0,Master's Degree,Bachelor's Degree,Father,No,8,Good,Socializing,Moderate,5,No
87,80,22,20,18,B,21,Male,Married,0,Doctorate,High School,Aunty,No,0,Poor,Socializing,Low,5,No
78,82,10,22,40,A,23,Male,Single,0,High School,Doctorate,Brother,No,0,Good,Reading,Moderate,2,Yes
96,89,16,14,36,B,21,Male,Single,0,College,Master's Degree,Sister,Yes,4,Average,Reading,Low,4,Yes
93,99,16,14,34,B,20,Male,Engaged,0,College,Doctorate,Brother,No,7,Average,Watching TV,Moderate,3,No
